taxonID	parentNameUsageID	scientificNameID	scientificName	scientificNameAuthorship	namePublishedInYear	CommonName	vernacularName	taxonRankID	taxonRank
5000013	0	urn:lsid:dyntaxa.se:Taxon:5000013	Tardigrada	Spallanzani	1777	björndjur	björndjur:swe	2	Phylum
3000064	5000013	urn:lsid:dyntaxa.se:Taxon:3000064	Eutardigrada	Richters	1926			5	Class
3000063	5000013	urn:lsid:dyntaxa.se:Taxon:3000063	Heterotardigrada	Marcus	1927			5	Class
6000970	3000064	urn:lsid:dyntaxa.se:Taxon:6000970	Apochela	Schuster et al.	1980			8	Order
6000971	3000064	urn:lsid:dyntaxa.se:Taxon:6000971	Parachela	Schuster et al.	1980			8	Order
6000968	3000063	urn:lsid:dyntaxa.se:Taxon:6000968	Arthrotardigrada	Marcus	1927			8	Order
6000969	3000063	urn:lsid:dyntaxa.se:Taxon:6000969	Echiniscoidea	Richters	1926			8	Order
6007250	6000971	urn:lsid:dyntaxa.se:Taxon:6007250	Eohypsibioidea	Bertolani & Kristensen	1987			10	Superfamily
6007256	6000971	urn:lsid:dyntaxa.se:Taxon:6007256	Hypsibioidea	Pilato	1969			10	Superfamily
6007301	6000971	urn:lsid:dyntaxa.se:Taxon:6007301	Isohypsibioidea	Sands et al.	2008			10	Superfamily
6007321	6000971	urn:lsid:dyntaxa.se:Taxon:6007321	Macrobiotoidea	Thulin	1928			10	Superfamily
2000334	6000970	urn:lsid:dyntaxa.se:Taxon:2000334	Milnesiidae	Ramazzotti	1962			11	Family
6007251	6007250	urn:lsid:dyntaxa.se:Taxon:6007251	Eohypsibiidae	Ramazzotti	1962			11	Family
2000332	6007256	urn:lsid:dyntaxa.se:Taxon:2000332	Calohypsibiidae	Pilato	1969			11	Family
2000333	6007256	urn:lsid:dyntaxa.se:Taxon:2000333	Hypsibiidae	Pilato	1969			11	Family
6007297	6007256	urn:lsid:dyntaxa.se:Taxon:6007297	Microhypsibiidae	Pilato	1998			11	Family
6007300	6007256	urn:lsid:dyntaxa.se:Taxon:6007300	Ramazzottiidae	Sands et al.	2008			11	Family
6007302	6007301	urn:lsid:dyntaxa.se:Taxon:6007302	Isohypsibiidae	Sands et al.	2008			11	Family
2000331	6007321	urn:lsid:dyntaxa.se:Taxon:2000331	Macrobiotidae	Thulin	1928			11	Family
6007327	6007321	urn:lsid:dyntaxa.se:Taxon:6007327	Murrayidae	Guidetti et al.	2005			11	Family
2000329	6000968	urn:lsid:dyntaxa.se:Taxon:2000329	Batillipedidae	Ramazzotti	1962			11	Family
2000328	6000968	urn:lsid:dyntaxa.se:Taxon:2000328	Halechiniscidae	Thulin	1928			11	Family
6007199	6000969	urn:lsid:dyntaxa.se:Taxon:6007199	Echiniscoididae	Krsitensen & Hallas	1980			11	Family
2000330	6000969	urn:lsid:dyntaxa.se:Taxon:2000330	Echiniscidae	Thulin	1928			11	Family
6007260	2000333	urn:lsid:dyntaxa.se:Taxon:6007260	Diphasconinae	Dastych	1992			12	Subfamily
6007276	2000333	urn:lsid:dyntaxa.se:Taxon:6007276	Hypsibiinae	Pilato	1969			12	Subfamily
